from,to,id,source,source_other,target,target_other,Reactions,EC.numbers,Crossreferences,reaction_gene_h,reaction_gene_m
FattyAldehyde,fattyacid,FattyAldehyde_fattyacid,FattyAldehyde,,fattyacid,,Fatty Aldehyde + water + NAD(+) -> fatty acid + NADH,1.2.1.48,"kegg:R02039,metacyc:LONG-CHAIN-ALDEHYDE-DEHYDROGENASE-RXN,rhea:10653,rhea:49833",,
acylCoA,LPA,acylCoA_LPA,acylCoA,,LPA,,acyl CoA + sn-glycerol 3-phosphate -> LPA + coenzyme A,2.3.1.15,"ecocyc:RXN-1381,kegg:R00851,metacyc:RXN-1381,rhea:15326,wikipathways:WP4345","GPAM, GPAT2, GPAT3, GPAT4","Gpam, Gpat2, Gpat3, Gpat4"
fattyacid,acylCoA,fattyacid_acylCoA,fattyacid,,acylCoA,,fatty acid + ATP + coenzyme A -> acyl CoA + adenosine 5'-monophosphate + diphosphoric acid,6.2.1.3,"kegg:R00389,kegg:R00390,metacyc:BUTYRATE--COA-LIGASE-RXN,metacyc:RXN-16415,metacyc:RXN-19957,metacyc:RXN-7904,rhea:15422,rhea:38884,rhea:48341,rhea:52861,rhea:54537","ACSBG1, ACSBG2, ACSF2, ACSL1, ACSL3, ACSL4, ACSL5, ACSL6, ACSM1, ACSM2A, ACSM2B, ACSM3, ACSM4, ACSM5, ACSM6, SLC27A1, SLC27A2, SLC27A3, SLC27A4, SLC27A5, SLC27A6","Acsbg1, Acsbg2, Acsbg3, Acsf2, Acsl1, Acsl3, Acsl4, Acsl5, Acsl6, Acsm1, Acsm2, Acsm3, Acsm4, Acsm5, Slc27a1, Slc27a2, Slc27a4, Slc27a5, Slc27a6"
LPE-O,LPA-O,LPE-O_LPA-O,LPE-O,,LPA-O,,LPE-O + water -> LPA-O + ethanolamine,3.1.4.39,"kegg:R04362,metacyc:3.1.4.39-RXN,rhea:15966","ENPP2, GDPD1, GDPD3","Enpp2, Gdpd1, Gdpd3"
PI,1_2-DG,PI_1_2-DG,PI,,1_2-DG,,"PI -> 1,2-DG + 1D-myo-inositol 1,2-cyclic phosphate",4.6.1.13,"kegg:R03364,metacyc:3.1.4.10-RXN,rhea:17094",,
Ceramide,N-Acylceramidephosphate,Ceramide_N-Acylceramidephosphate,Ceramide,,N-Acylceramidephosphate,,Ceramide + ATP -> N-Acyl ceramide phosphate + ADP,2.7.1.138,"kegg:R01495,metacyc:CERAMIDE-KINASE-RXN,rhea:17930","AGK, CERK","Agk, Cerk"
Sphingomyelin,N-Acylceramidephosphate,Sphingomyelin_N-Acylceramidephosphate,Sphingomyelin,,N-Acylceramidephosphate,,Sphingomyelin + water -> N-Acyl ceramide phosphate + choline,3.1.4.41,"kegg:R02542,metacyc:SPHINGOMYELIN-PHOSPHODIESTERASE-D-RXN,rhea:20985",,
FattyAlcohol,FattyAldehyde,FattyAlcohol_FattyAldehyde,FattyAlcohol,,FattyAldehyde,,Fatty Alcohol + O2 -> Fatty Aldehyde + hydrogen peroxide,1.1.3.20,"metacyc:LONG-CHAIN-ALCOHOL-OXIDASE-RXN,metacyc:LONG-CHAIN-ALCOHOL-RXN-4444OXIDASE-RXN,rhea:22757",,
PA,1_2-DG,PA_1_2-DG,PA,,1_2-DG,,"PA + water -> 1,2-DG + phosphoric acid",3.1.3.4,"kegg:R02239,metacyc:PHOSPHATIDATE-PHOSPHATASE-RXN,rhea:27430,wikipathways:WP4345","LPIN1, LPIN2, LPIN3, PLPP1, PLPP2, PLPP3, PLPP4, PLPP5","Lpin1, Lpin2, Lpin3, Plpp1, Plpp2, Plpp3, Plpp4, Plpp5"
1_2-DG,PE,1_2-DG_PE,1_2-DG,,PE,,"1,2-DG + CDP-ethanolamine -> PE + cytidine5'-monophosphate",2.7.8.1,"kegg:R02057,metacyc:ETHANOLAMINEPHOSPHOTRANSFERASE-RXN,rhea:32944","CEPT1, SELENOI","Cept1, Selenoi"
