id,lm_id,label,sum_composition,Lipotype,Untargeted,Untargeted_simplify,goslin,Lipid category,Lipid description,Max num FA,Poss num FA,Special Cases,Sum formula,Synonyms
PA,LMGP10010000,PA,NA,PA,PA,PA,PA,GP,Glycerophosphates [GP10],2,2,NA,C3H7O6P,"GPA,PlsA"
1_2-DG,LMGL02010000,"1,2-DG",NA,DAG,DG,DG,DG,GL,Diacylglycerols [GL0201],3,2,NA,C3H5O3,DAG
PC,LMGP01010000,PC,NA,PC,PC,PC,PC,GP,Glycerophosphocholines [GP01],2,2,Ether,C8H18NO6P,"GPC,GPCho,PlsCho"
acylCoA,LMFA07050000,acyl CoA,NA,NA,NA,NA,CoA,FA,Fatty acyl CoAs [FA0705],1,1,NA,C21H35N7O16P3S,NA
2-acyl-sn-glycero-3-phosphocholine,LMGP0105AA00,"2-acyl-sn-glycero-
3-phosphocholine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PC-Plasmalogen,LMGP01030000,PC-Plasmalogen,NA,NA,NA,NA,PC P-,GP,Glycerophosphocholines [GP01],2,2,Ether,C8H18NO6P,"GPC,GPCho,PlsCho"
LPC-Plasmalogen,LMGP01070000,LPC-Plasmalogen,NA,NA,NA,NA,LPC P-,GP,Monoacylglycerophosphocholines [GP0105],2,1,Lyso;Ether,C8H18NO6P,"LysoPC,lysoPC"
fattyacid,LMFA01010000,fatty acid,NA,FFA,FA,FA,FA,FA,Fatty acids and conjugates [FA01],1,1,NA,HO,fatty acid
FattyAldehyde,LMFA06000000,Fatty Aldehyde,NA,NA,NA,NA,FAL,FA,Fatty aldehydes [FA06],1,1,NA,H,NA
TG,LMGL03010000,TG,NA,TAG,TG,TG,TG,GL,Triacylglycerols [GL0301],3,3,NA,C3H5O3,TAG
CDP-diacylglycerol,LMGP13010000,CDP-diacyl glycerol,NA,CDP-DAG,NA,NA,CDPDAG,GP,CDP-diacylglycerols [GP1301],2,2,NA,C12H19N3O13P2,"CDPDG,CDP-DG,CDP-DAG"
PI,LMGP06010000,PI,NA,PI,PI,PI,PI,GP,Glycerophosphoinositols [GP06],2,2,NA,C9H17O11P,"GPI,GPIns,PlsIns"
PGP,LMGP05010000,PGP,NA,NA,NA,NA,PGP,GP,Glycerophosphoglycerophosphates [GP05],2,2,NA,C6H14O11P2,NA
LPC,LMGP01050000,LPC,NA,LPC,LPC,LPC,LPC,GP,Monoacylglycerophosphocholines [GP0105],2,1,Lyso;Ether,C8H18NO6P,"LysoPC,lysoPC"
Aceticacid,LMFA01010002,Acetic acid,FA 2:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acetyl-CoA,LMFA07050281,Acetyl-CoA,CoA 2:0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA,LMGP10050000,LPA,NA,LPA,LPA,LPA,LPA,GP,Monoacylglycerophosphates [GP1005],2,1,Lyso,C3H7O6P,"LysoPA,lysoPA"
LPE-O,LMGP02060000,LPE-O,NA,LPE O-,EtherLPE,EtherLPE,LPE O-,GP,Monoacylglycerophosphoethanolamines [GP0205],2,1,Lyso;Ether,C5H12NO6P,"LysoPE,lysoPE"
LPA-O,LMGP10060000,LPA-O,NA,NA,NA,NA,LPA O-,GP,Monoacylglycerophosphates [GP1005],2,1,Lyso,C3H7O6P,"LysoPA,lysoPA"
PE-Plasmalogen,LMGP02030000,PE-Plasmalogen,NA,NA,EtherPE(P),EtherPE(P),PE P-,GP,Glycerophosphoethanolamines [GP02],2,2,Ether,C5H12NO6P,"GPE,GPEtn,PlsEtn"
LPE-Plasmalogen,LMGP02070000,LPE-Plasmalogen,NA,NA,NA,NA,LPE P-,GP,Monoacylglycerophosphoethanolamines [GP0205],2,1,Lyso;Ether,C5H12NO6P,"LysoPE,lysoPE"
PS,LMGP03010000,PS,NA,PS,PS,PS,PS,GP,Glycerophosphoserines [GP03],2,2,NA,C6H12NO8P,"GPS,GPSer,PlsSer"
Ceramide,LMSP02010000,Ceramide,NA,Cer,"Cer_ADS,Cer_AP,Cer_AS,Cer_BDS,Cer_BS,Cer_HDS,Cer_HS,Cer_EBDS,Cer_EODS,Cer_EOS,Cer_NDS,Cer_NP,Cer_NS",Cer,Cer,SP,Ceramides [SP02],2,2,SP_Exception,H,Ceramide
N-Acylceramidephosphate,LMSP02050000,"N-
Acyl ceramide phosphate",NA,NA,CerP,CerP,CerP,SP,Ceramide 1-phosphates [SP0205],2,2,NA,H2O3P,C1P
FattyAlcohol,LMFA05000000,Fatty Alcohol,NA,NA,NA,NA,FOH,FA,Fatty alcohols [FA05],1,1,NA,H3,fatty alcohol
