feature,Class,Category,Species.Name,Molecular.Species.Name,Structural.Species.Name,Level,Mass,Sum.Formula,Total.FA,Total.C,Total.DB,Total.OH,FA,FA.C,FA.DB,FA.OH,LCB,LCB2,LCB.C,LCB.DB,LCB.OH,LCB.Bond.Type,FA1,FA1.C,FA1.DB,FA1.OH,FA1.Bond.Type,FA2,FA2.C,FA2.DB,FA2.OH,FA2.Bond.Type,FA3,FA3.C,FA3.DB,FA3.OH,FA3.Bond.Type,FA4,FA4.C,FA4.DB,FA4.OH,FA4.Bond.Type,Lipid.Maps.Category,Lipid.Maps.Class,Lipid.Maps.Subclass,Cellular.Component,Function,Bond.type,Headgroup.Charge,Lateral.Diffusion,Bilayer.Thickness,Intrinsic.Curvature,Transition.Temperature,FA.Unsaturation.Category1,FA.Unsaturation.Category2,FA.Chain.Length.Category1,FA.Chain.Length.Category2,FA.Chain.Length.Category3,LION.abbr,GATOM.abbr,LIPIDMAPS.reaction.abbr
SPB 18:1;O2,SPB,SP,SPB 18:1;O2,SPB 18:1;O2,SPB 18:1;O2,SN_POSITION,299.28243,C18H37NO2,18:1;O2,18,1,2,18:1;O2,18,1,2,18:1;O2,d18:1,18,1,2,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPB(d18:1),SPB 18:1;O2,Sphingosine
SPB 18:0;O2,SPB,SP,SPB 18:0;O2,SPB 18:0;O2,SPB 18:0;O2,SN_POSITION,301.29808,C18H39NO2,18:0;O2,18,0,2,18:0;O2,18,0,2,18:0;O2,d18:0,18,0,2,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Saturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPB(d18:0),SPB 18:0;O2,Sphinganine
SPB 18:0;O3,SPB,SP,SPB 18:0;O3,SPB 18:0;O3,SPB 18:0;O3,SN_POSITION,317.29299,C18H39NO3,18:0;O3,18,0,3,18:0;O3,18,0,3,18:0;O3,t18:0,18,0,3,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Saturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPB(t18:0),SPB 18:0;O3,
SPB 18:1;O3,SPB,SP,SPB 18:1;O3,SPB 18:1;O3,SPB 18:1;O3,SN_POSITION,315.27734,C18H37NO3,18:1;O3,18,1,3,18:1;O3,18,1,3,18:1;O3,t18:1,18,1,3,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPB(t18:1),SPB 18:1;O3,
SPBP 18:1;O2,SPBP,SP,SPBP 18:1;O2,SPBP 18:1;O2,SPBP 18:1;O2,SN_POSITION,379.24876,C18H38NO5P,18:1;O2,18,1,2,18:1;O2,18,1,2,18:1;O2,d18:1,18,1,2,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPBP(d18:1),SPBP 18:1;O2,
SPBP 18:0;O2,SPBP,SP,SPBP 18:0;O2,SPBP 18:0;O2,SPBP 18:0;O2,SN_POSITION,381.26441,C18H40NO5P,18:0;O2,18,0,2,18:0;O2,18,0,2,18:0;O2,d18:0,18,0,2,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Saturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPBP(d18:0),SPBP 18:0;O2,
SPBP 18:0;O3,SPBP,SP,SPBP 18:0;O3,SPBP 18:0;O3,SPBP 18:0;O3,SN_POSITION,397.25933,C18H40NO6P,18:0;O3,18,0,3,18:0;O3,18,0,3,18:0;O3,t18:0,18,0,3,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Sphingoid bases [SP01],,,,,,,,,,FA with less than 2 double bonds,Saturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,SPBP(t18:0),SPBP 18:0;O3,
Glucosyl Sphingosine,Glucosyl Sphingosine,SP,,,,,461.335255,C24H47NO7,18:1;O2,18,1,2,18:1;O2,18,1,2,18:1;O2,d18:1,18,1,2,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],Basic glycosphingolipids [SP07],,,,,,,,,,,,,,,,,
LSM 18:1;O2,LSM,SP,LSM 18:1;O2,LSM 18:1;O2,LSM 18:1;O2,SN_POSITION,464.33791,C23H49N2O5P,18:1;O2,18,1,2,18:1;O2,18,1,2,18:1;O2,d18:1,18,1,2,LCB,,,,,,,,,,,,,,,,,,,,,Sphingolipids [SP],,,,,,,,,,,FA with less than 2 double bonds,Monounsaturated fatty acid,FA with 18 carbons or less,FA with 16-18 carbons,Long-chain FA,LSM(d18:1),LSM(d18:1),
Lyso-GB3,Lyso-Gb3,SP,,,,,785.4409,C36H67NO17,18:1;O2,18,1,2,18:1;O2,18,0,,18:1;O2,d18:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cer 18:1;O2/14:0,Cer[NS],SP,Cer 32:1;O2,Cer 18:1;O2/14:0,Cer 18:1;O2/14:0,SN_POSITION,509.4808,C32H63NO3,32:1;O2,32,1,2,18:1;O2|14:0,18|14,1|0,2|0,18:1;O2,d18:1,18,1,2,LCB,14:00,14,0,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Saturated fatty acid,FA with 18 carbons or less|FA with 18 carbons or less,FA with 16-18 carbons|FA with 13-15 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/14:0),Cer(d18:1/14:0),Ceramide
Cer 18:1;O2/14:1,Cer[NS],SP,Cer 32:2;O2,Cer 18:1;O2/14:1,Cer 18:1;O2/14:1,SN_POSITION,507.46515,C32H61NO3,32:2;O2,32,2,2,18:1;O2|14:1,18|14,1|1,2|0,18:1;O2,d18:1,18,1,2,LCB,14:01,14,1,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Monounsaturated fatty acid,FA with 18 carbons or less|FA with 18 carbons or less,FA with 16-18 carbons|FA with 13-15 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/14:1),Cer(d18:1/14:1),Ceramide
Cer 18:1;O2/16:0,Cer[NS],SP,Cer 34:1;O2,Cer 18:1;O2/16:0,Cer 18:1;O2/16:0,SN_POSITION,537.5121,C34H67NO3,34:1;O2,34,1,2,18:1;O2|16:0,18|16,1|0,2|0,18:1;O2,d18:1,18,1,2,LCB,16:00,16,0,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Saturated fatty acid,FA with 18 carbons or less|FA with 18 carbons or less,FA with 16-18 carbons|FA with 16-18 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/16:0),Cer(d18:1/16:0),Ceramide
Cer 18:1;O2/16:1,Cer[NS],SP,Cer 34:2;O2,Cer 18:1;O2/16:1,Cer 18:1;O2/16:1,SN_POSITION,535.49645,C34H65NO3,34:2;O2,34,2,2,18:1;O2|16:1,18|16,1|1,2|0,18:1;O2,d18:1,18,1,2,LCB,16:01,16,1,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Monounsaturated fatty acid,FA with 18 carbons or less|FA with 18 carbons or less,FA with 16-18 carbons|FA with 16-18 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/16:1),Cer(d18:1/16:1),Ceramide
Cer 18:1;O2/18:0,Cer[NS],SP,Cer 36:1;O2,Cer 18:1;O2/18:0,Cer 18:1;O2/18:0,SN_POSITION,565.5434,C36H71NO3,36:1;O2,36,1,2,18:1;O2|18:0,18|18,1|0,2|0,18:1;O2,d18:1,18,1,2,LCB,18:00,18,0,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Saturated fatty acid,FA with 18 carbons or less|FA with 18 carbons or less,FA with 16-18 carbons|FA with 16-18 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/18:0),Cer(d18:1/18:0),Ceramide
Cer 18:1;O2/18:1,Cer[NS],SP,Cer 36:2;O2,Cer 18:1;O2/18:1,Cer 18:1;O2/18:1,SN_POSITION,563.52775,C36H69NO3,36:2;O2,36,2,2,18:1;O2|18:1,18|18,1|1,2|0,18:1;O2,d18:1,18,1,2,LCB,18:01,18,1,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Monounsaturated fatty acid,FA with 18 carbons or less|FA with 18 carbons or less,FA with 16-18 carbons|FA with 16-18 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/18:1),Cer(d18:1/18:1),Ceramide
Cer 18:1;O2/20:0,Cer[NS],SP,Cer 38:1;O2,Cer 18:1;O2/20:0,Cer 18:1;O2/20:0,SN_POSITION,593.5747,C38H75NO3,38:1;O2,38,1,2,18:1;O2|20:0,18|20,1|0,2|0,18:1;O2,d18:1,18,1,2,LCB,20:00,20,0,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Saturated fatty acid,FA with 18 carbons or less|FA with more than 18 carbons,FA with 16-18 carbons|FA with 19-21 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/20:0),Cer(d18:1/20:0),Ceramide
Cer 18:1;O2/20:1,Cer[NS],SP,Cer 38:2;O2,Cer 18:1;O2/20:1,Cer 18:1;O2/20:1,SN_POSITION,591.55905,C38H73NO3,38:2;O2,38,2,2,18:1;O2|20:1,18|20,1|1,2|0,18:1;O2,d18:1,18,1,2,LCB,20:01,20,1,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Monounsaturated fatty acid,FA with 18 carbons or less|FA with more than 18 carbons,FA with 16-18 carbons|FA with 19-21 carbons,Long-chain FA|Long-chain FA,Cer(d18:1/20:1),Cer(d18:1/20:1),Ceramide
Cer 18:1;O2/22:0,Cer[NS],SP,Cer 40:1;O2,Cer 18:1;O2/22:0,Cer 18:1;O2/22:0,SN_POSITION,621.606,C40H79NO3,40:1;O2,40,1,2,18:1;O2|22:0,18|22,1|0,2|0,18:1;O2,d18:1,18,1,2,LCB,22:00,22,0,0,ESTER,,,,,,,,,,,,,,,,Sphingolipids [SP],ceramides [SP02],N-acylsphingosines (ceramides) [SP0201],endoplasmic reticulum (ER)|plasma membrane,lipid-mediated signalling,,,,,negative intrinsic curvature,,FA with less than 2 double bonds|FA with less than 2 double bonds,Monounsaturated fatty acid|Saturated fatty acid,FA with 18 carbons or less|FA with more than 18 carbons,FA with 16-18 carbons|FA with 22-24 carbons,Long-chain FA|Very long-chain FA,Cer(d18:1/22:0),Cer(d18:1/22:0),Ceramide
